Follower Athlete ID,Follow Status,Favorite Status
206543982,Accepted,""
1147430,Accepted,""
70784488,Accepted,""
195013030,Accepted,""
195399205,Accepted,""
10596876,Accepted,""
91860586,Accepted,""
37620155,Accepted,""
139547038,Accepted,""
1907483,Accepted,""
125032261,Accepted,""
32289943,Accepted,""
116844764,Accepted,""
23087780,Accepted,""
34343846,Accepted,""
179170476,Accepted,""
11660769,Accepted,""
1481057,Accepted,""
1866361,Accepted,""
185733199,Accepted,""
24742410,Accepted,""
160241797,Accepted,""
16762390,Accepted,""
48465875,Accepted,""
185443952,Accepted,""
11023904,Accepted,""
107226996,Accepted,""
128135440,Accepted,""
148875310,Accepted,""
159125034,Accepted,""
45061114,Accepted,""
44706438,Accepted,""
83684228,Accepted,""
162359452,Accepted,""
52081049,Accepted,""
33616525,Accepted,""
36913628,Accepted,""
43507830,Accepted,""
90422348,Accepted,""
169128810,Accepted,""
168084147,Accepted,""
63474982,Accepted,""
173130741,Accepted,""
39610131,Accepted,""
59845320,Accepted,""
118639771,Accepted,""
152193793,Accepted,""
35674869,Accepted,""
37387009,Accepted,""
157502036,Accepted,""
24025436,Accepted,""
62325152,Accepted,""
115980903,Accepted,""
43711701,Accepted,""
85654759,Accepted,""
141240022,Accepted,""
44231431,Accepted,""
8489033,Accepted,""
161084601,Accepted,""
160909170,Accepted,""
154932079,Accepted,""
139585472,Accepted,""
37020448,Accepted,""
152700609,Accepted,""
157248113,Accepted,""
158900640,Accepted,""
143050064,Accepted,""
75556482,Accepted,""
156413572,Accepted,""
129273151,Accepted,""
155650690,Accepted,""
52244725,Accepted,""
45763620,Accepted,""
590503,Accepted,""
55796962,Accepted,""
23933509,Accepted,""
153397194,Accepted,""
3084151,Accepted,""
1806251,Accepted,""
107779979,Accepted,""
123448731,Accepted,""
122492333,Accepted,""
152980897,Accepted,""
4937345,Accepted,""
114812472,Accepted,""
135541374,Accepted,""
73979877,Accepted,""
53289323,Accepted,""
88826178,Accepted,""
113618351,Accepted,""
52146492,Accepted,""
122420324,Accepted,""
65400200,Accepted,""
23280590,Accepted,""
1466007,Accepted,""
49387286,Accepted,""
101714874,Accepted,""
111434600,Accepted,""
46242758,Accepted,""
37701510,Accepted,""
30038707,Accepted,""
15516328,Accepted,""
32402193,Accepted,""
95503467,Accepted,""
39329527,Accepted,""
63660367,Accepted,""
99765324,Accepted,""
33831252,Accepted,""
49503818,Accepted,""
58494660,Accepted,""
16336282,Accepted,""
231153,Accepted,""
43236208,Accepted,""
129357591,Accepted,""
53113967,Accepted,""
121219137,Accepted,""
113773903,Accepted,""
127502026,Accepted,""
26131103,Accepted,""
138503449,Accepted,""
146958174,Accepted,""
31096234,Accepted,""
71354757,Accepted,""
123383832,Accepted,""
101262555,Accepted,""
52627123,Accepted,""
22648137,Accepted,""
145801643,Accepted,""
116034749,Accepted,""
14973616,Accepted,""
86585005,Accepted,""
93834512,Accepted,""
76645689,Accepted,""
128715502,Accepted,""
127094961,Accepted,""
22714023,Accepted,""
136020791,Accepted,""
32350450,Accepted,""
45267327,Accepted,""
146094286,Accepted,""
25267133,Accepted,""
85144133,Accepted,""
48866438,Accepted,""
121701425,Accepted,""
62725888,Accepted,""
119566511,Accepted,""
103258836,Accepted,""
108723208,Accepted,""
93343795,Accepted,""
81587678,Accepted,""
53079725,Accepted,""
43819514,Accepted,""
67365470,Accepted,""
31908928,Accepted,""
21344796,Accepted,""
58626610,Accepted,""
11100652,Accepted,""
65424405,Accepted,""
72276086,Accepted,""
13227865,Accepted,""
137677471,Accepted,""
40495733,Accepted,""
14316838,Accepted,""
23211028,Accepted,""
10781599,Accepted,""
94485,Accepted,""
81412266,Accepted,""
134303333,Accepted,""
87801926,Accepted,""
125686519,Accepted,""
50977523,Accepted,""
137186880,Accepted,""
138232914,Accepted,""
89978480,Accepted,""
119276443,Accepted,""
130964766,Accepted,""
26211324,Accepted,""
121232978,Accepted,""
143423955,Accepted,""
14552051,Accepted,""
121824454,Accepted,""
125953516,Accepted,""
18491240,Accepted,""
31642951,Accepted,""
119633450,Accepted,""
1037226,Accepted,""
115166660,Accepted,""
19189,Accepted,""
34692739,Accepted,""
60799900,Accepted,""
59220894,Accepted,""
121288832,Accepted,""
43978547,Accepted,""
102210581,Accepted,""
53886331,Accepted,""
58104221,Accepted,""
61679711,Accepted,""
140036123,Accepted,""
70218011,Accepted,""
115000330,Accepted,""
139556497,Accepted,""
140747802,Accepted,""
132256557,Accepted,""
53769846,Accepted,""
139643079,Accepted,""
94359395,Accepted,""
69294712,Accepted,""
56568596,Accepted,""
4917867,Accepted,""
109052449,Accepted,""
84833515,Accepted,""
8672504,Accepted,""
133835485,Accepted,""
87257184,Accepted,""
69114973,Accepted,""
114589560,Accepted,""
36905639,Accepted,""
59428206,Accepted,""
49662169,Accepted,""
22522267,Accepted,""
123614573,Accepted,""
49312916,Accepted,""
62435462,Accepted,""
95163344,Accepted,""
119372636,Accepted,""
108459030,Accepted,""
5399108,Accepted,""
168582,Accepted,""
43422469,Accepted,""
102463462,Accepted,""
33700832,Accepted,""
137576730,Accepted,""
58158202,Accepted,""
82509867,Accepted,""
12303746,Accepted,""
14003394,Accepted,""
10075031,Accepted,""
4245580,Accepted,""
7761254,Accepted,""
283287,Accepted,""
166758,Accepted,""
23952933,Accepted,""
25810977,Accepted,""
35268468,Accepted,""
54031712,Accepted,""
130593472,Accepted,""
74787805,Accepted,""
15893883,Accepted,""
28708770,Accepted,""
89935331,Accepted,""
13048552,Accepted,""
102612700,Accepted,""
2562695,Accepted,""
23452778,Accepted,""
116232054,Accepted,""
53073484,Accepted,""
16074123,Accepted,""
43657620,Accepted,""
115808294,Accepted,""
32832607,Accepted,""
49470037,Accepted,""
59782258,Accepted,""
27285306,Accepted,""
122316045,Accepted,""
7350059,Accepted,""
64863091,Accepted,""
28642786,Accepted,""
126940765,Accepted,""
77950483,Accepted,""
76252865,Accepted,""
110608944,Accepted,""
90686208,Accepted,""
2128686,Accepted,""
103511412,Accepted,""
3166301,Accepted,""
122915855,Accepted,""
207862,Accepted,""
125093747,Accepted,""
8660563,Accepted,""
2993135,Accepted,""
15721061,Accepted,""
62001374,Accepted,""
26960956,Accepted,""
135084,Accepted,""
37373462,Accepted,""
54295008,Accepted,""
10225914,Accepted,""
82023477,Accepted,""
12913835,Accepted,""
25226883,Accepted,""
143902,Accepted,""
49984632,Accepted,""
3955092,Accepted,""
80015673,Accepted,""
120100514,Accepted,""
71719287,Accepted,""
9274772,Accepted,""
15736963,Accepted,""
24892163,Accepted,""
47271811,Accepted,""
12615367,Accepted,""
67219052,Accepted,""
83382638,Accepted,""
17642669,Accepted,""
30943385,Accepted,""
2650298,Accepted,""
15318904,Accepted,""
2944623,Accepted,""
52422057,Accepted,""
116041738,Accepted,""
96732200,Accepted,""
60628290,Accepted,""
112339572,Accepted,""
80513741,Accepted,""
70345059,Accepted,""
96730852,Accepted,""
2853202,Accepted,""
74312378,Accepted,""
106378479,Accepted,""
15964310,Accepted,""
1833065,Accepted,""
92193725,Accepted,""
5178314,Accepted,""
6243020,Accepted,""
107078643,Accepted,""
70765404,Accepted,""
106895194,Accepted,""
40463579,Accepted,""
15865010,Accepted,""
43656537,Accepted,""
27289609,Accepted,""
111533093,Accepted,""
111513921,Accepted,""
33263168,Accepted,""
5245285,Accepted,""
6643620,Accepted,""
108090210,Accepted,""
17501930,Accepted,""
68120510,Accepted,""
26525039,Accepted,""
70146970,Accepted,""
57062290,Accepted,""
24575222,Accepted,""
54716747,Accepted,""
95474108,Accepted,""
34847917,Accepted,""
44195277,Accepted,""
43858872,Accepted,""
10987362,Accepted,""
11386559,Accepted,""
44719934,Accepted,""
68514536,Accepted,""
81426134,Accepted,""
1254248,Accepted,""
60502333,Accepted,""
23191032,Accepted,""
91311124,Accepted,""
107118040,Accepted,""
30663534,Accepted,""
2281169,Accepted,""
323829,Accepted,""
30083073,Accepted,""
14945246,Accepted,""
132790,Accepted,""
68775524,Accepted,""
44424785,Accepted,""
16474594,Accepted,""
25911112,Accepted,""
103474690,Accepted,""
58164946,Accepted,""
106083720,Accepted,""
22524786,Accepted,""
413413,Accepted,""
53501,Accepted,""
32102096,Accepted,""
85705294,Accepted,""
71445696,Accepted,""
25668616,Accepted,""
7529757,Accepted,""
55983902,Accepted,""
15844749,Accepted,""
45048451,Accepted,""
5140428,Accepted,""
22299596,Accepted,""
31566373,Accepted,""
46525426,Accepted,""
46561450,Accepted,""
86564636,Accepted,""
71477648,Accepted,""
21121027,Accepted,""
104365593,Accepted,""
30663293,Accepted,""
45469940,Accepted,""
30568738,Accepted,""
102282461,Accepted,""
72201617,Accepted,""
51612716,Accepted,""
87426113,Accepted,""
46456173,Accepted,""
38759286,Accepted,""
103705749,Accepted,""
96576648,Accepted,""
53764373,Accepted,""
72848369,Accepted,""
48629675,Accepted,""
46401625,Accepted,""
15865073,Accepted,""
82075287,Accepted,""
50744644,Accepted,""
25226501,Accepted,""
97856138,Accepted,""
1097017,Accepted,""
20039240,Accepted,""
2411613,Accepted,""
24501821,Accepted,""
19056261,Accepted,""
36840067,Accepted,""
34259421,Accepted,""
44223785,Accepted,""
19284380,Accepted,""
24937616,Accepted,""
101783154,Accepted,""
2773911,Accepted,""
168105,Accepted,""
9023479,Accepted,""
33611553,Accepted,""
60224260,Accepted,""
38484890,Accepted,""
13761115,Accepted,""
22471096,Accepted,""
100191896,Accepted,""
100107799,Accepted,""
6653844,Accepted,""
41610083,Accepted,""
38987841,Accepted,""
38237570,Accepted,""
8390184,Accepted,""
12643315,Accepted,""
943313,Accepted,""
25856504,Accepted,""
76811032,Accepted,""
17858240,Accepted,""
22188261,Accepted,""
7172896,Accepted,""
53239539,Accepted,""
96591709,Accepted,""
25543798,Accepted,""
79011909,Accepted,""
357465,Accepted,""
59861330,Accepted,""
47025359,Accepted,""
70385720,Accepted,""
20098813,Accepted,""
46775520,Accepted,""
36950618,Accepted,""
12840535,Accepted,""
14751985,Accepted,""
6644542,Accepted,""
41986366,Accepted,""
36675308,Accepted,""
26714247,Accepted,""
14352873,Accepted,""
7656275,Accepted,""
9214949,Accepted,""
39106410,Accepted,""
39253956,Accepted,""
41063207,Accepted,""
73135497,Accepted,""
60480815,Accepted,""
24036513,Accepted,""
20769,Accepted,""
1620095,Accepted,""
34680836,Accepted,""
83453007,Accepted,""
93125106,Accepted,""
11452350,Accepted,""
7543751,Accepted,""
62998692,Accepted,""
190743,Accepted,""
52360227,Accepted,""
57374306,Accepted,""
9708871,Accepted,""
26932286,Accepted,""
1166607,Accepted,""
68903164,Accepted,""
754137,Accepted,""
16661282,Accepted,""
2430197,Accepted,""
6495366,Accepted,""
3968654,Accepted,""
9925470,Accepted,""
24586730,Accepted,""
69743961,Accepted,""
42583539,Accepted,""
3407939,Accepted,""
24483830,Accepted,""
273391,Accepted,""
15062,Accepted,""
22090584,Accepted,""
35406171,Accepted,""
21768643,Accepted,""
105025,Accepted,""
9043488,Accepted,Boost Activities in Feed
17954143,Accepted,""
10643062,Accepted,""
8966956,Accepted,""
23582152,Accepted,""
24652317,Accepted,""
34885364,Accepted,""
37365864,Accepted,""
5300518,Accepted,""
54036691,Accepted,""
17177431,Accepted,""
9658660,Accepted,""
85965666,Accepted,""
39996946,Accepted,""
14218023,Accepted,""
24063982,Accepted,""
984380,Accepted,""
57615061,Accepted,""
79931635,Accepted,""
28871164,Accepted,""
30084889,Accepted,""
